Betreiber: LfU
Pegelkennziffer (PKZ): 6919100
Messstellenname: Frankfurt (Oder), Westkreuz
Gewaessername: Klinge
AEo [qkm]: 8,20
Pegelnullpunkt: 55,193  DHHN2016 
ETRS 89_3_Ost: 465727,370062
ETRS 89_3_Nord: 5799817,120227
Geografische Laenge:  14,496859
Geografische Breite:  52,347578
Parameter: W [cm]
Datum;Uhrzeit;Relativer Wert [cm];Qualität (rel. Wert)
04.04.1996;Tagesmittel;17;Gut
05.04.1996;Tagesmittel;17;Gut
06.04.1996;Tagesmittel;17;Gut
07.04.1996;Tagesmittel;17;Gut
08.04.1996;Tagesmittel;17;Gut
09.04.1996;Tagesmittel;17;Gut
10.04.1996;Tagesmittel;17;Gut
11.04.1996;Tagesmittel;17;Gut
12.04.1996;Tagesmittel;17;Gut
13.04.1996;Tagesmittel;17;Gut
14.04.1996;Tagesmittel;17;Gut
15.04.1996;Tagesmittel;17;Gut
16.04.1996;Tagesmittel;17;Gut
17.04.1996;Tagesmittel;17;Gut
18.04.1996;Tagesmittel;17;Gut
19.04.1996;Tagesmittel;17;Gut
20.04.1996;Tagesmittel;17;Gut
21.04.1996;Tagesmittel;17;Gut
22.04.1996;Tagesmittel;17;Gut
23.04.1996;Tagesmittel;17;Gut
24.04.1996;Tagesmittel;17;Gut
25.04.1996;Tagesmittel;16;Gut
26.04.1996;Tagesmittel;16;Gut
27.04.1996;Tagesmittel;16;Gut
28.04.1996;Tagesmittel;17;Gut
29.04.1996;Tagesmittel;16;Gut
30.04.1996;Tagesmittel;15;Gut
01.05.1996;Tagesmittel;15;Gut
02.05.1996;Tagesmittel;15;Gut
03.05.1996;Tagesmittel;18;Gut
04.05.1996;Tagesmittel;23;Gut
05.05.1996;Tagesmittel;19;Gut
06.05.1996;Tagesmittel;18;Gut
07.05.1996;Tagesmittel;17;Gut
08.05.1996;Tagesmittel;17;Gut
09.05.1996;Tagesmittel;17;Gut
10.05.1996;Tagesmittel;20;Gut
11.05.1996;Tagesmittel;18;Gut
12.05.1996;Tagesmittel;18;Gut
13.05.1996;Tagesmittel;17;Gut
14.05.1996;Tagesmittel;17;Gut
15.05.1996;Tagesmittel;17;Gut
16.05.1996;Tagesmittel;17;Gut
17.05.1996;Tagesmittel;17;Gut
18.05.1996;Tagesmittel;19;Gut
19.05.1996;Tagesmittel;20;Gut
20.05.1996;Tagesmittel;19;Gut
21.05.1996;Tagesmittel;19;Gut
22.05.1996;Tagesmittel;19;Gut
23.05.1996;Tagesmittel;19;Gut
24.05.1996;Tagesmittel;19;Gut
25.05.1996;Tagesmittel;19;Gut
26.05.1996;Tagesmittel;18;Gut
27.05.1996;Tagesmittel;18;Gut
28.05.1996;Tagesmittel;17;Gut
29.05.1996;Tagesmittel;17;Gut
30.05.1996;Tagesmittel;17;Gut
31.05.1996;Tagesmittel;17;Gut
01.06.1996;Tagesmittel;16;Gut
02.06.1996;Tagesmittel;16;Gut
03.06.1996;Tagesmittel;17;Gut
04.06.1996;Tagesmittel;16;Gut
05.06.1996;Tagesmittel;16;Gut
06.06.1996;Tagesmittel;15;Gut
07.06.1996;Tagesmittel;15;Gut
08.06.1996;Tagesmittel;15;Gut
09.06.1996;Tagesmittel;15;Gut
10.06.1996;Tagesmittel;15;Gut
11.06.1996;Tagesmittel;15;Gut
12.06.1996;Tagesmittel;15;Gut
13.06.1996;Tagesmittel;14;Gut
14.06.1996;Tagesmittel;14;Gut
15.06.1996;Tagesmittel;14;Gut
16.06.1996;Tagesmittel;14;Gut
17.06.1996;Tagesmittel;14;Gut
18.06.1996;Tagesmittel;14;Gut
19.06.1996;Tagesmittel;14;Gut
20.06.1996;Tagesmittel;14;Gut
21.06.1996;Tagesmittel;14;Gut
22.06.1996;Tagesmittel;14;Gut
23.06.1996;Tagesmittel;14;Gut
24.06.1996;Tagesmittel;14;Gut
25.06.1996;Tagesmittel;14;Gut
26.06.1996;Tagesmittel;14;Gut
27.06.1996;Tagesmittel;14;Gut
28.06.1996;Tagesmittel;14;Gut
29.06.1996;Tagesmittel;14;Gut
30.06.1996;Tagesmittel;15;Gut
01.07.1996;Tagesmittel;15;Gut
02.07.1996;Tagesmittel;15;Gut
03.07.1996;Tagesmittel;15;Gut
04.07.1996;Tagesmittel;16;Gut
05.07.1996;Tagesmittel;15;Gut
06.07.1996;Tagesmittel;16;Gut
07.07.1996;Tagesmittel;16;Gut
08.07.1996;Tagesmittel;21;Gut
09.07.1996;Tagesmittel;25;Gut
10.07.1996;Tagesmittel;19;Gut
11.07.1996;Tagesmittel;19;Gut
12.07.1996;Tagesmittel;21;Gut
13.07.1996;Tagesmittel;18;Gut
14.07.1996;Tagesmittel;17;Gut
15.07.1996;Tagesmittel;17;Gut
16.07.1996;Tagesmittel;16;Gut
17.07.1996;Tagesmittel;16;Gut
18.07.1996;Tagesmittel;17;Gut
19.07.1996;Tagesmittel;16;Gut
20.07.1996;Tagesmittel;16;Gut
21.07.1996;Tagesmittel;16;Gut
22.07.1996;Tagesmittel;16;Gut
23.07.1996;Tagesmittel;16;Gut
24.07.1996;Tagesmittel;17;Gut
25.07.1996;Tagesmittel;39;Gut
26.07.1996;Tagesmittel;30;Gut
27.07.1996;Tagesmittel;24;Gut
28.07.1996;Tagesmittel;20;Gut
29.07.1996;Tagesmittel;19;Gut
30.07.1996;Tagesmittel;18;Gut
31.07.1996;Tagesmittel;17;Gut
01.08.1996;Tagesmittel;17;Gut
02.08.1996;Tagesmittel;16;Gut
03.08.1996;Tagesmittel;16;Gut
04.08.1996;Tagesmittel;16;Gut
05.08.1996;Tagesmittel;16;Gut
06.08.1996;Tagesmittel;16;Gut
07.08.1996;Tagesmittel;16;Gut
08.08.1996;Tagesmittel;16;Gut
09.08.1996;Tagesmittel;16;Gut
10.08.1996;Tagesmittel;15;Gut
11.08.1996;Tagesmittel;15;Gut
12.08.1996;Tagesmittel;15;Gut
13.08.1996;Tagesmittel;16;Gut
14.08.1996;Tagesmittel;16;Gut
15.08.1996;Tagesmittel;16;Gut
16.08.1996;Tagesmittel;16;Gut
17.08.1996;Tagesmittel;16;Gut
18.08.1996;Tagesmittel;16;Gut
19.08.1996;Tagesmittel;16;Gut
20.08.1996;Tagesmittel;15;Gut
21.08.1996;Tagesmittel;15;Gut
22.08.1996;Tagesmittel;15;Gut
23.08.1996;Tagesmittel;15;Gut
24.08.1996;Tagesmittel;15;Gut
25.08.1996;Tagesmittel;17;Gut
26.08.1996;Tagesmittel;16;Gut
27.08.1996;Tagesmittel;16;Gut
28.08.1996;Tagesmittel;16;Gut
29.08.1996;Tagesmittel;16;Gut
30.08.1996;Tagesmittel;16;Gut
31.08.1996;Tagesmittel;16;Gut
01.09.1996;Tagesmittel;15;Gut
02.09.1996;Tagesmittel;15;Gut
03.09.1996;Tagesmittel;15;Gut
04.09.1996;Tagesmittel;16;Gut
05.09.1996;Tagesmittel;16;Gut
06.09.1996;Tagesmittel;16;Gut
07.09.1996;Tagesmittel;17;Gut
08.09.1996;Tagesmittel;17;Gut
09.09.1996;Tagesmittel;17;Gut
10.09.1996;Tagesmittel;16;Gut
11.09.1996;Tagesmittel;15;Gut
12.09.1996;Tagesmittel;14;Gut
13.09.1996;Tagesmittel;15;Gut
14.09.1996;Tagesmittel;16;Gut
15.09.1996;Tagesmittel;15;Gut
16.09.1996;Tagesmittel;14;Gut
17.09.1996;Tagesmittel;14;Gut
18.09.1996;Tagesmittel;14;Gut
19.09.1996;Tagesmittel;14;Gut
20.09.1996;Tagesmittel;14;Gut
21.09.1996;Tagesmittel;14;Gut
22.09.1996;Tagesmittel;14;Gut
23.09.1996;Tagesmittel;14;Gut
24.09.1996;Tagesmittel;14;Gut
25.09.1996;Tagesmittel;14;Gut
26.09.1996;Tagesmittel;15;Gut
27.09.1996;Tagesmittel;15;Gut
28.09.1996;Tagesmittel;15;Gut
29.09.1996;Tagesmittel;15;Gut
30.09.1996;Tagesmittel;17;Gut
01.10.1996;Tagesmittel;16;Gut
02.10.1996;Tagesmittel;17;Gut
03.10.1996;Tagesmittel;17;Gut
