Betreiber: LfU;;;
Pegelkennziffer (PKZ): 6919300;;;
Messstellenname: Frankfurt (Oder), Simonsmühle;;;
Gewaessername: Klinge;;;
AEo [qkm]: 13,91;;;
Pegelnullpunkt: 34,27  DHHN92 ;;;
ETRS 89_3_Ost: 467257,439684;;;
ETRS 89_3_Nord: 5800668,919883;;;
Geografische Laenge:  14,519237;;;
Geografische Breite:  52,355329;;;
Parameter: W [cm];;;
Datum;Uhrzeit;Relativer Wert [cm];Qualität (rel. Wert)
28.09.1995;Tagesmittel;28;Gut
29.09.1995;Tagesmittel;26;Gut
30.09.1995;Tagesmittel;27;Gut
01.10.1995;Tagesmittel;27;Gut
02.10.1995;Tagesmittel;27;Gut
03.10.1995;Tagesmittel;26;Gut
04.10.1995;Tagesmittel;26;Gut
05.10.1995;Tagesmittel;25;Gut
06.10.1995;Tagesmittel;25;Gut
07.10.1995;Tagesmittel;25;Gut
08.10.1995;Tagesmittel;25;Gut
09.10.1995;Tagesmittel;25;Gut
10.10.1995;Tagesmittel;25;Gut
11.10.1995;Tagesmittel;25;Gut
12.10.1995;Tagesmittel;25;Gut
13.10.1995;Tagesmittel;25;Gut
14.10.1995;Tagesmittel;25;Gut
15.10.1995;Tagesmittel;25;Gut
16.10.1995;Tagesmittel;25;Gut
17.10.1995;Tagesmittel;25;Gut
18.10.1995;Tagesmittel;25;Gut
19.10.1995;Tagesmittel;25;Gut
20.10.1995;Tagesmittel;26;Gut
21.10.1995;Tagesmittel;25;Gut
22.10.1995;Tagesmittel;25;Gut
23.10.1995;Tagesmittel;25;Gut
24.10.1995;Tagesmittel;25;Gut
25.10.1995;Tagesmittel;25;Gut
26.10.1995;Tagesmittel;25;Gut
27.10.1995;Tagesmittel;25;Gut
28.10.1995;Tagesmittel;26;Gut
29.10.1995;Tagesmittel;26;Gut
30.10.1995;Tagesmittel;28;Gut
31.10.1995;Tagesmittel;26;Gut
01.11.1995;Tagesmittel;29;Gut
02.11.1995;Tagesmittel;28;Gut
03.11.1995;Tagesmittel;29;Gut
04.11.1995;Tagesmittel;30;Gut
05.11.1995;Tagesmittel;29;Gut
06.11.1995;Tagesmittel;31;Gut
07.11.1995;Tagesmittel;32;Gut
08.11.1995;Tagesmittel;29;Gut
09.11.1995;Tagesmittel;29;Gut
10.11.1995;Tagesmittel;29;Gut
11.11.1995;Tagesmittel;29;Gut
12.11.1995;Tagesmittel;28;Gut
13.11.1995;Tagesmittel;28;Gut
14.11.1995;Tagesmittel;28;Gut
15.11.1995;Tagesmittel;28;Gut
16.11.1995;Tagesmittel;31;Gut
17.11.1995;Tagesmittel;28;Gut
18.11.1995;Tagesmittel;28;Gut
19.11.1995;Tagesmittel;29;Gut
20.11.1995;Tagesmittel;28;Gut
21.11.1995;Tagesmittel;28;Gut
