Betreiber: LfU;;;
Pegelkennziffer (PKZ): 6919600;;;
Messstellenname: Frankfurt (Oder), Beckmannstraße;;;
Gewaessername: Klinge;;;
AEo [qkm]: 20,95;;;
Pegelnullpunkt: 23,177  DHHN2016 ;;;
ETRS 89_3_Ost: 468707,37003;;;
ETRS 89_3_Nord: 5800074,780486;;;
Geografische Laenge:  14,540582;;;
Geografische Breite:  52,350073;;;
Parameter: W [cm];;;
Datum;Uhrzeit;Relativer Wert [cm];Qualität (rel. Wert)
30.01.1983;Terminwerte;9;Gut
31.01.1983;Terminwerte;12;Gut
01.02.1983;Terminwerte;18;Gut
02.02.1983;Terminwerte;16;Gut
03.02.1983;Terminwerte;12;Gut
04.02.1983;Terminwerte;11;Gut
05.02.1983;Terminwerte;8;Gut
06.02.1983;Terminwerte;8;Gut
07.02.1983;Terminwerte;8;Gut
08.02.1983;Terminwerte;8;Gut
09.02.1983;Terminwerte;8;Gut
10.02.1983;Terminwerte;8;Gut
11.02.1983;Terminwerte;8;Gut
12.02.1983;Terminwerte;8;Gut
13.02.1983;Terminwerte;8;Gut
14.02.1983;Terminwerte;8;Gut
15.02.1983;Terminwerte;8;Gut
16.02.1983;Terminwerte;8;Gut
17.02.1983;Terminwerte;8;Gut
18.02.1983;Terminwerte;8;Gut
19.02.1983;Terminwerte;8;Gut
20.02.1983;Terminwerte;8;Gut
21.02.1983;Terminwerte;8;Gut
22.02.1983;Terminwerte;8;Gut
23.02.1983;Terminwerte;8;Gut
24.02.1983;Terminwerte;9;Gut
25.02.1983;Terminwerte;9;Gut
26.02.1983;Terminwerte;9;Gut
27.02.1983;Terminwerte;11;Gut
28.02.1983;Terminwerte;11;Gut
01.03.1983;Terminwerte;10;Gut
02.03.1983;Terminwerte;10;Gut
03.03.1983;Terminwerte;10;Gut
04.03.1983;Terminwerte;10;Gut
05.03.1983;Terminwerte;10;Gut
06.03.1983;Terminwerte;10;Gut
07.03.1983;Terminwerte;10;Gut
08.03.1983;Terminwerte;10;Gut
09.03.1983;Terminwerte;10;Gut
10.03.1983;Terminwerte;10;Gut
11.03.1983;Terminwerte;10;Gut
12.03.1983;Terminwerte;10;Gut
13.03.1983;Terminwerte;10;Gut
14.03.1983;Terminwerte;10;Gut
15.03.1983;Terminwerte;10;Gut
16.03.1983;Terminwerte;10;Gut
17.03.1983;Terminwerte;10;Gut
18.03.1983;Terminwerte;11;Gut
19.03.1983;Terminwerte;10;Gut
20.03.1983;Terminwerte;9;Gut
21.03.1983;Terminwerte;8;Gut
22.03.1983;Terminwerte;8;Gut
23.03.1983;Terminwerte;11;Gut
24.03.1983;Terminwerte;9;Gut
25.03.1983;Terminwerte;8;Gut
26.03.1983;Terminwerte;8;Gut
27.03.1983;Terminwerte;9;Gut
28.03.1983;Terminwerte;9;Gut
29.03.1983;Terminwerte;8;Gut
30.03.1983;Terminwerte;7;Gut
31.03.1983;Terminwerte;7;Gut
01.04.1983;Terminwerte;10;Gut
02.04.1983;Terminwerte;14;Gut
03.04.1983;Terminwerte;17;Gut
04.04.1983;Terminwerte;11;Gut
05.04.1983;Terminwerte;16;Gut
06.04.1983;Terminwerte;11;Gut
07.04.1983;Terminwerte;11;Gut
08.04.1983;Terminwerte;11;Gut
09.04.1983;Terminwerte;11;Gut
10.04.1983;Terminwerte;11;Gut
11.04.1983;Terminwerte;13;Gut
12.04.1983;Terminwerte;96;Gut
13.04.1983;Terminwerte;11;Gut
14.04.1983;Terminwerte;8;Gut
15.04.1983;Terminwerte;7;Gut
16.04.1983;Terminwerte;7;Gut
17.04.1983;Terminwerte;6;Gut
18.04.1983;Terminwerte;6;Gut
19.04.1983;Terminwerte;6;Gut
20.04.1983;Terminwerte;6;Gut
21.04.1983;Terminwerte;6;Gut
22.04.1983;Terminwerte;6;Gut
23.04.1983;Terminwerte;6;Gut
24.04.1983;Terminwerte;6;Gut
25.04.1983;Terminwerte;6;Gut
26.04.1983;Terminwerte;6;Gut
27.04.1983;Terminwerte;7;Gut
28.04.1983;Terminwerte;6;Gut
29.04.1983;Terminwerte;6;Gut
30.04.1983;Terminwerte;6;Gut
01.05.1983;Terminwerte;9;Gut
02.05.1983;Terminwerte;71;Gut
03.05.1983;Terminwerte;11;Gut
04.05.1983;Terminwerte;10;Gut
05.05.1983;Terminwerte;11;Gut
06.05.1983;Terminwerte;10;Gut
07.05.1983;Terminwerte;9;Gut
08.05.1983;Terminwerte;10;Gut
09.05.1983;Terminwerte;9;Gut
10.05.1983;Terminwerte;9;Gut
11.05.1983;Terminwerte;9;Gut
