Datum;Uhrzeit;Relativer Wert [cm];Qualität (rel. Wert)
04.02.1938;00:00:00;190;Genügend
05.02.1938;00:00:00;200;Genügend
06.02.1938;00:00:00;198;Genügend
07.02.1938;00:00:00;204;Genügend
08.02.1938;00:00:00;200;Genügend
09.02.1938;00:00:00;202;Genügend
10.02.1938;00:00:00;200;Genügend
11.02.1938;00:00:00;204;Genügend
12.02.1938;00:00:00;198;Genügend
13.02.1938;00:00:00;195;Genügend
14.02.1938;00:00:00;202;Genügend
15.02.1938;00:00:00;200;Genügend
16.02.1938;00:00:00;204;Genügend
17.02.1938;00:00:00;196;Genügend
18.02.1938;00:00:00;200;Genügend
19.02.1938;00:00:00;200;Genügend
20.02.1938;00:00:00;204;Genügend
21.02.1938;00:00:00;200;Genügend
22.02.1938;00:00:00;194;Genügend
23.02.1938;00:00:00;194;Genügend
24.02.1938;00:00:00;200;Genügend
25.02.1938;00:00:00;202;Genügend
26.02.1938;00:00:00;200;Genügend
27.02.1938;00:00:00;198;Genügend
28.02.1938;00:00:00;200;Genügend
01.03.1938;00:00:00;200;Genügend
02.03.1938;00:00:00;194;Genügend
03.03.1938;00:00:00;196;Genügend
04.03.1938;00:00:00;196;Genügend
05.03.1938;00:00:00;196;Genügend
06.03.1938;00:00:00;194;Genügend
07.03.1938;00:00:00;204;Genügend
08.03.1938;00:00:00;194;Genügend
09.03.1938;00:00:00;194;Genügend
10.03.1938;00:00:00;196;Genügend
11.03.1938;00:00:00;194;Genügend
12.03.1938;00:00:00;200;Genügend
13.03.1938;00:00:00;202;Genügend
14.03.1938;00:00:00;198;Genügend
15.03.1938;00:00:00;198;Genügend
16.03.1938;00:00:00;196;Genügend
17.03.1938;00:00:00;194;Genügend
18.03.1938;00:00:00;197;Genügend
19.03.1938;00:00:00;194;Genügend
20.03.1938;00:00:00;190;Genügend
21.03.1938;00:00:00;196;Genügend
22.03.1938;00:00:00;200;Genügend
23.03.1938;00:00:00;196;Genügend
24.03.1938;00:00:00;198;Genügend
25.03.1938;00:00:00;194;Genügend
26.03.1938;00:00:00;196;Genügend
27.03.1938;00:00:00;204;Genügend
28.03.1938;00:00:00;200;Genügend
29.03.1938;00:00:00;204;Genügend
30.03.1938;00:00:00;198;Genügend
31.03.1938;00:00:00;196;Genügend
01.04.1938;00:00:00;196;Genügend
02.04.1938;00:00:00;198;Genügend
03.04.1938;00:00:00;194;Genügend
04.04.1938;00:00:00;198;Genügend
05.04.1938;00:00:00;198;Genügend
06.04.1938;00:00:00;194;Genügend
